物件番号,物件名,店舗名,物件種目,物件種別,ステータスと物件種別,レインズと物件種別,ステータス（公開、済み等）,都道府県,市区,町域,以降番地,小学校,中学校,路線,駅,バス停名１,バス乗車時間１,徒歩（分）,路線２,駅２,バス停名２,バス乗車時間２,徒歩（分）２,路線３,駅３,バス停名３,バス乗車時間３,徒歩（分）３,その他交通,その他交通徒歩（分）,現況,明渡,自社/他社,取引態様種別,備考,価格（万円）,最終取引価格（万円）,坪単価,建物構造,建物号室,土地面積（㎡）,土地坪,地目,建物面積（㎡）,建坪,間取,土地権利,借地料(円）,借地期間,完成,完成予定、完成済み,新築/中古,道路１,道路２,道路３,私道,私道面積（㎡）,専有面積（㎡）,バルコニー面積（㎡）,階数,所在階,管理費（円）,修繕費（円）,駐車場,駐車場（円/月）,管理形態,施工会社,管理会社,用途地域,その他規制,都市計画,建蔽率,容積率,設備,特記事項,業者名,業者電話番号,業者FAX,業者担当,物件登録日時,更新日時,広告掲載,ホームページ掲載,アットホーム掲載,HOMES掲載,SUUMO掲載,制限事項（SUUMO専用）,メモ（非公開情報）,参考資料,リゾート物件,収益物件,物件URL,ログイン時非掲載,取込緯度,取込経度
50727935,南区御幸木部,,土地,売地,売地,売地,公開,熊本県,熊本市南区,御幸木部,3丁目1708,御幸小学校,託麻中学校,,,,,,,,,,,,,,,,木部バス停,3,更地,,他社,媒介,都市計画29条申請必要,"1,080",,,,,360,,田,,,,所有権,,,,,,南側::間口18m,,,,,,,,,,,,,,,,,法第34条11号条例指定区域,市街化調整区域,40,80,プロパンガス（個別）:電気,セットバック要,有限会社拓翼,096-289-3711,096-388-6253,,,2019/6/18 12:05,,,,,,,,,,,,,32.7457607,130.7120546
50727934,南区御幸木部,,土地,売地,売地,売地,公開,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019/6/18 11:45,,,,,,,,,,,,,,
50727890,中央区黒髪,,土地,売地,売地,売地,公開,熊本県,熊本市中央区,黒髪,6丁目77,黒髪小学校,桜山中学校,,,,,,,,,,,,,,,,一里木バス停,5,更地,相談,,,42条2項道路（熊本市B-1判定）,"2,180",,,,,565.28,,宅地,,,,所有権,,,,,,南側:公道:幅員2.1m:間口21.3m,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,,セットバック要,,,,,,2019/6/18 11:40,,,,,,,,,,,,,32.8149894,130.7380326
50727879,東区下南部,,土地,売地,売地,売地,公開,熊本県,熊本市東区,下南部,3丁目1-23,西原小学校,西原中学校,,,,,,,,,,,,,,,,平の下バス停,1,更地,,他社,媒介,,"2,150",,,,,269.89,,宅地,,,,所有権,,,,,,南西側:私道:幅員4m:間口16.9m,,,,,,,,,,,,,,,,準工業,,市街化区域,60,200,プロパンガス（個別）:上水道:下水道:電気,,株式会社ランズライフ,096-202-6092,096-202-6093,,,2019/6/18 11:23,,,,,,,,,,,,,32.8243328,130.7576667
50727871,東区小山,,土地,売地,売地,売地,公開,熊本県,熊本市東区,小山,1丁目679　5号地,託麻東小学校,二岡中学校,,,,,,,,,,,,,,,,小山バス停,3,更地,即,他社,媒介,,823,,,,,151.17,,宅地,,,,所有権,,,,,,南側:私道:幅員5m:間口10m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,150,プロパンガス（個別）:上水道:下水道:電気:側溝,,株式会社レゴリスアーキテクト,096-286-6770,096-300-3796,,,2019/6/18 11:06,,,,,,,,,,,,,32.8337108,130.786156
50727837,東区小山,,土地,売地,売地,売地,公開,熊本県,熊本市東区,小山,1丁目679　2号地,託麻東小学校,二岡中学校,,,,,,,,,,,,,,,,小山バス停,3,更地,即,他社,媒介,,865,,,,,154.45,,宅地,,,,所有権,,,,,,南側:私道:幅員5m:間口10m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,150,プロパンガス（個別）:上水道:下水道:電気:側溝,,株式会社レゴリスアーキテクト,096-286-6770,096-300-3796,,,2019/6/18 11:04,,,,,,,,,,,,,,
50695806,北区植木町平井,,戸建,戸建,戸建,戸建,公開,熊本県,熊本市北区,植木町平井,717,吉松小学校,植木北中学校,,,,,,,,,,,,,,,,戸島津小学校前バス停,17,上物有,相談,他社,媒介,,600,,,木造,,357.13,,宅地,60.72,,4DK,所有権,,,Jan-70,,,,,,,,,,,,,,,,,,,,,調整区域,,,上水道,,株式会社さくら企画,096-273-2306,096-273-5585,,,2019/6/17 14:11,,,,,,,,,,,,,32.9393321,130.7221937
50695749,西区戸坂町,,土地,売地,売地,売地,公開,熊本県,熊本市西区,戸坂町,43743,池ノ上小学校,三和中学校,,,,,,,,,,,,,,,,戸坂バス停,2,更地,,他社,媒介,,"1,013.25",,,,,159.52,,宅地,,,,所有権,,,,,,東側:公道:幅員5m:間口9.9m,,,,,,,,,,,,,,,,2種中高,,市街化区域,60,200,都市ガス:上水道:下水道,,有限会社金峰不動産,096-325-5600,096-325-5643,,,2019/6/17 13:50,,,,,,,,,,,,,,
50695726,東区京塚本町,,土地,売地,売地,売地,公開,熊本県,熊本市東区,京塚本町,49番,尾ノ上小学校,錦ヶ丘中学校,,,,,,,,,,,,,,,,工業高校北門前バス停,3,更地,相談,他社,媒介,東側道路43条但し書き現況駐車場で賃貸中上下水道引込要,"1,400",,,,,153.28,,宅地,,,,所有権,,,,,,,,,,,,,,,,,,,,,,1種中高,,市街化区域,60,150,都市ガス,,E-Life不動産株式会社,096-284-1899,096-284-1811,,,2019/6/17 13:28,,,,,,,,,,,,,,
50695709,東区下江津,,土地,売地,売地,売地,公開,熊本県,熊本市東区,下江津,1丁目5-22,画図小学校,湖東中学校,,,,,,,,,,,,,,,,湖畔団地前バス停,1,更地,相談,他社,媒介,要上水道管引き込み,"1,300",,,,,214.92,,宅地,,,,所有権,,,,,,西側::幅員4m,,,,,,,,,,,,,,,,1種低層,風致地区　景観法　航空法,市街化区域,30,80,プロパンガス（個別）:上水道:下水道:電気,,株式会社コスギ不動産,096-368-0001,096-368-0002,,,2019/6/17 13:08,,,,,,,,,,,,,32.771498,130.7424667
